0,7,8,9
Date,Precipitation,New Snow,Snow Depth
2023-01-01,T,0.0,0
2023-01-02,0.02,0.0,0
2023-01-03,0.42,0.0,0
2023-01-04,0.02,0.0,0
2023-01-05,0.01,0.0,0
2023-01-06,0.27,0.0,0
2023-01-07,0.00,0.0,0
2023-01-08,0.00,0.0,0
2023-01-09,0.01,0.0,0
2023-01-10,0.00,0.0,0
2023-01-11,0.00,0.0,0
2023-01-12,0.30,0.0,0
2023-01-13,0.09,0.0,0
2023-01-14,T,T,0
2023-01-15,0.00,0.0,0
2023-01-16,0.00,0.0,0
2023-01-17,T,0.0,0
2023-01-18,0.05,0.0,0
2023-01-19,0.87,0.0,0
2023-01-20,T,0.0,0
2023-01-21,T,0.0,0
2023-01-22,0.51,0.0,0
2023-01-23,0.41,0.0,0
2023-01-24,0.00,0.0,0
2023-01-25,0.90,T,0
2023-01-26,0.44,0.0,0
2023-01-27,0.00,0.0,0
2023-01-28,0.00,0.0,0
2023-01-29,0.00,0.0,0
2023-01-30,0.00,0.0,0
2023-01-31,0.06,T,0
Sum,4.38,T,-
Average,-,-,0.0
Normal,3.64,8.8,-
Date,Precipitation,New Snow,Snow Depth
2023-01-01,T,0.0,0
2023-01-02,0.02,0.0,0
2023-01-03,0.42,0.0,0
2023-01-04,0.02,0.0,0
2023-01-05,0.01,0.0,0
2023-01-06,0.27,0.0,0
2023-01-07,0.00,0.0,0
2023-01-08,0.00,0.0,0
2023-01-09,0.01,0.0,0
2023-01-10,0.00,0.0,0
2023-01-11,0.00,0.0,0
2023-01-12,0.30,0.0,0
2023-01-13,0.09,0.0,0
2023-01-14,T,T,0
2023-01-15,0.00,0.0,0
2023-01-16,0.00,0.0,0
2023-01-17,T,0.0,0
2023-01-18,0.05,0.0,0
2023-01-19,0.87,0.0,0
2023-01-20,T,0.0,0
2023-01-21,T,0.0,0
2023-01-22,0.51,0.0,0
2023-01-23,0.41,0.0,0
2023-01-24,0.00,0.0,0
2023-01-25,0.90,T,0
2023-01-26,0.44,0.0,0
2023-01-27,0.00,0.0,0
2023-01-28,0.00,0.0,0
2023-01-29,0.00,0.0,0
2023-01-30,0.00,0.0,0
2023-01-31,0.06,T,0
Normal,,,
,,,
,,,
,,,
,,,
,,,
,,,
Date,Precipitation,New Snow,Snow Depth
2023-02-01,0.02,0.4,T
2023-02-02,0.00,0.0,0
2023-02-03,0.00,0.0,0
2023-02-04,0.00,0.0,0
2023-02-05,0.00,0.0,0
2023-02-06,0.00,0.0,0
2023-02-07,0.02,0.0,0
2023-02-08,T,0.0,0
2023-02-09,0.00,0.0,0
2023-02-10,0.00,0.0,0
2023-02-11,0.00,0.0,0
2023-02-12,0.01,0.0,0
2023-02-13,0.00,0.0,0
2023-02-14,0.00,0.0,0
2023-02-15,0.00,0.0,0
2023-02-16,0.07,0.0,0
2023-02-17,0.18,T,0
2023-02-18,0.00,0.0,0
2023-02-19,0.00,0.0,0
2023-02-20,0.00,0.0,0
2023-02-21,0.27,0.0,0
2023-02-22,0.14,T,0
2023-02-23,0.02,0.0,0
2023-02-24,0.00,0.0,0
2023-02-25,T,T,0
2023-02-26,0.00,0.0,0
2023-02-27,0.21,0.9,0
2023-02-28,0.34,0.9,2
Sum,1.28,2.2,-
Average,-,-,0.1
Normal,3.19,10.1,-
Normal,,,
,,,
,,,
,,,
,,,
,,,
,,,
Date,Precipitation,New Snow,Snow Depth
2023-03-01,0.00,0.0,1
2023-03-02,T,0.0,0
2023-03-03,0.15,0.0,0
2023-03-04,0.99,0.0,0
2023-03-05,0.00,0.0,0
2023-03-06,0.00,0.0,0
2023-03-07,0.06,0.1,T
2023-03-08,0.00,0.0,0
2023-03-09,0.00,0.0,0
2023-03-10,0.36,0.0,0
2023-03-11,0.40,T,0
2023-03-12,0.00,0.0,0
2023-03-13,0.67,0.0,0
2023-03-14,0.13,T,0
2023-03-15,0.00,0.0,0
2023-03-16,0.00,0.0,0
2023-03-17,T,0.0,0
2023-03-18,0.02,0.0,0
2023-03-19,0.00,0.0,0
2023-03-20,0.00,0.0,0
2023-03-21,0.00,0.0,0
2023-03-22,0.00,0.0,0
2023-03-23,0.09,0.0,0
2023-03-24,0.00,0.0,0
2023-03-25,0.15,0.0,0
2023-03-26,0.00,0.0,0
2023-03-27,0.29,0.0,0
2023-03-28,T,0.0,0
2023-03-29,T,0.0,0
2023-03-30,0.01,0.0,0
2023-03-31,0.00,0.0,0
Normal,,,
,,,
,,,
,,,
,,,
,,,
,,,
Date,Precipitation,New Snow,Snow Depth
2023-04-01,0.38,0.0,0
2023-04-02,0.00,0.0,0
2023-04-03,0.00,0.0,0
2023-04-04,0.00,0.0,0
2023-04-05,0.00,0.0,0
2023-04-06,T,0.0,0
2023-04-07,0.00,0.0,0
2023-04-08,0.00,0.0,0
2023-04-09,0.00,0.0,0
2023-04-10,0.00,0.0,0
2023-04-11,0.00,0.0,0
2023-04-12,0.00,0.0,0
2023-04-13,0.00,0.0,0
2023-04-14,0.00,0.0,0
2023-04-15,0.02,0.0,0
2023-04-16,0.00,0.0,0
2023-04-17,T,0.0,0
2023-04-18,0.00,0.0,0
2023-04-19,0.00,0.0,0
2023-04-20,T,0.0,0
2023-04-21,0.00,0.0,0
2023-04-22,0.68,0.0,0
2023-04-23,1.51,0.0,0
2023-04-24,0.00,0.0,0
2023-04-25,0.00,0.0,0
2023-04-26,0.00,0.0,0
2023-04-27,0.00,0.0,0
2023-04-28,0.33,0.0,0
2023-04-29,2.46,0.0,0
2023-04-30,2.32,0.0,0
Sum,7.70,0.0,-
Normal,,,
,,,
,,,
,,,
,,,
,,,
,,,
Date,Precipitation,New Snow,Snow Depth
2023-05-01,0.09,0.0,0
2023-05-02,0.25,0.0,0
2023-05-03,T,0.0,0
2023-05-04,0.05,0.0,0
2023-05-05,0.00,0.0,0
2023-05-06,0.00,0.0,0
2023-05-07,0.02,0.0,0
2023-05-08,T,0.0,0
2023-05-09,0.00,0.0,0
2023-05-10,0.00,0.0,0
2023-05-11,0.00,0.0,0
2023-05-12,0.00,0.0,0
2023-05-13,0.00,0.0,0
2023-05-14,0.00,0.0,0
2023-05-15,0.00,0.0,0
2023-05-16,0.00,0.0,0
2023-05-17,0.00,0.0,0
2023-05-18,0.00,0.0,0
2023-05-19,0.00,0.0,0
2023-05-20,0.77,0.0,0
2023-05-21,0.02,0.0,0
2023-05-22,0.00,0.0,0
2023-05-23,0.00,0.0,0
2023-05-24,0.08,0.0,0
2023-05-25,0.00,0.0,0
2023-05-26,0.00,0.0,0
2023-05-27,0.00,0.0,0
2023-05-28,0.00,0.0,0
2023-05-29,0.00,0.0,0
2023-05-30,0.00,0.0,0
2023-05-31,0.00,0.0,0
2023-05-31,,,
,,,
,,,
,,,
,,,
,,,
,,,
Date,Precipitation,New Snow,Snow Depth
2023-06-01,0.00,0.0,0
2023-06-02,0.24,0.0,0
2023-06-03,0.00,0.0,0
2023-06-04,0.00,0.0,0
2023-06-05,0.00,0.0,0
2023-06-06,T,0.0,0
2023-06-07,0.00,0.0,0
2023-06-08,0.00,0.0,0
2023-06-09,T,0.0,0
2023-06-10,T,0.0,0
2023-06-11,0.01,0.0,0
2023-06-12,0.30,0.0,0
2023-06-13,0.00,0.0,0
2023-06-14,0.14,0.0,0
2023-06-15,0.00,0.0,0
2023-06-16,0.23,0.0,0
2023-06-17,T,0.0,0
2023-06-18,0.00,0.0,0
2023-06-19,0.00,0.0,0
2023-06-20,0.00,0.0,0
2023-06-21,0.00,0.0,0
2023-06-22,T,0.0,0
2023-06-23,0.04,0.0,0
2023-06-24,0.07,0.0,0
2023-06-25,T,0.0,0
2023-06-26,0.51,0.0,0
2023-06-27,0.08,0.0,0
2023-06-28,T,0.0,0
2023-06-29,0.00,0.0,0
2023-06-30,0.00,0.0,0
2023-06-30,,,
,,,
,,,
,,,
,,,
,,,
,,,
Date,Precipitation,New Snow,Snow Depth
2023-07-01,0.00,0.0,0
2023-07-02,0.58,0.0,0
2023-07-03,0.45,0.0,0
2023-07-04,0.63,0.0,0
2023-07-05,0.00,0.0,0
2023-07-06,0.00,0.0,0
2023-07-07,0.00,0.0,0
2023-07-08,0.00,0.0,0
2023-07-09,0.98,0.0,0
2023-07-10,T,0.0,0
2023-07-11,0.00,0.0,0
2023-07-12,0.00,0.0,0
2023-07-13,0.00,0.0,0
2023-07-14,0.48,0.0,0
2023-07-15,0.04,0.0,0
2023-07-16,1.32,0.0,0
2023-07-17,0.00,0.0,0
2023-07-18,0.22,0.0,0
2023-07-19,T,0.0,0
2023-07-20,0.00,0.0,0
2023-07-21,0.15,0.0,0
2023-07-22,0.00,0.0,0
2023-07-23,0.00,0.0,0
2023-07-24,0.00,0.0,0
2023-07-25,0.28,0.0,0
2023-07-26,0.00,0.0,0
2023-07-27,0.15,0.0,0
2023-07-28,T,0.0,0
2023-07-29,0.06,0.0,0
2023-07-30,0.00,0.0,0
2023-07-31,0.00,0.0,0
Normal,,,
,,,
,,,
,,,
,,,
,,,
,,,
Date,Precipitation,New Snow,Snow Depth
2023-08-01,T,0.0,0
2023-08-02,0.00,0.0,0
2023-08-03,T,0.0,0
2023-08-04,T,0.0,0
2023-08-05,0.00,0.0,0
2023-08-06,0.00,0.0,0
2023-08-07,1.12,0.0,0
2023-08-08,0.01,0.0,0
2023-08-09,0.00,0.0,0
2023-08-10,0.48,0.0,0
2023-08-11,0.00,0.0,0
2023-08-12,T,0.0,0
2023-08-13,0.69,0.0,0
2023-08-14,0.02,0.0,0
2023-08-15,0.77,0.0,0
2023-08-16,1.33,0.0,0
2023-08-17,T,0.0,0
2023-08-18,0.77,0.0,0
2023-08-19,0.00,0.0,0
2023-08-20,0.00,0.0,0
2023-08-21,0.00,0.0,0
2023-08-22,0.00,0.0,0
2023-08-23,0.00,0.0,0
2023-08-24,0.14,0.0,0
2023-08-25,0.44,0.0,0
2023-08-26,0.52,0.0,0
2023-08-27,0.00,0.0,0
2023-08-28,0.00,0.0,0
2023-08-29,0.00,0.0,0
2023-08-30,0.27,0.0,0
2023-08-31,0.00,0.0,0
Normal,,,
,,,
,,,
,,,
,,,
,,,
,,,
Date,Precipitation,New Snow,Snow Depth
2023-09-01,0.00,0.0,0
2023-09-02,0.00,0.0,0
2023-09-03,0.00,0.0,0
2023-09-04,T,0.0,0
2023-09-05,0.00,0.0,0
2023-09-06,0.00,0.0,0
2023-09-07,0.00,0.0,0
2023-09-08,0.10,0.0,0
2023-09-09,0.02,0.0,0
2023-09-10,1.80,0.0,0
2023-09-11,1.66,0.0,0
2023-09-12,0.00,0.0,0
2023-09-13,0.22,0.0,0
2023-09-14,0.00,0.0,0
2023-09-15,0.00,0.0,0
2023-09-16,0.00,0.0,0
2023-09-17,0.21,0.0,0
2023-09-18,1.34,0.0,0
2023-09-19,0.00,0.0,0
2023-09-20,0.00,0.0,0
2023-09-21,0.00,0.0,0
2023-09-22,0.00,0.0,0
2023-09-23,0.96,0.0,0
2023-09-24,1.25,0.0,0
2023-09-25,0.59,0.0,0
2023-09-26,0.20,0.0,0
2023-09-27,0.00,0.0,0
2023-09-28,0.38,0.0,0
